artist,Nationality,PaintingSchool,ArtMovement,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,FirstYear,LastYear,Places
Philippe van Mallery,,,,,,,,,,,
François Gonord|François Boucher,,,,,,,,,,,
François Denis Née,,,,,,,,,1780,1781,
Robert Sayer|Matthias Lock,,,,,,,,,,,
J.F. De La Rue,,,,,,,,,,,
Peter Simon|William Shakespeare|John & Josiah Boydell|William Hamilton,,,,,,,,,,,
Servatius Raeven,,,,,,,,,,,
Desrais,,,,,,,,,,,
Winslow Homer|Harper's Weekly|W. H. Lagarde,,,,,,,,,,,
Dirck Volckertz. Coornhert,,,,,,,,,,,
Pierre Woeiriot (II),,,,,,,,,,,
Blanchard,,,,,,,,,,,
William Watts|Thomas Sandby,,,,,,,,,,,
Antoine-Paul Vincent|Antoine Achille Bourgeois de la Richardière|Charles Henri Plantade,,,,,,,,,,,
Hakman|François Boucher,,,,,,,,,,,
Pieter Maes,,,,,,,,,,,
Pieter Goos,,,,,,,,,,,
Jacques André Cobbe,,,,,,,,,,,
Alexandre Chaponnier|Annibale Carracci,,,,,,,,,,,
Jan de Mel,,,,,,,,,,,
Harmen de Mayer,,,,,,,,,,,
William Shakespeare|George Romney|John & Josiah Boydell|Benjamin Smith,,,,,,,,,,,
Daniel de Lafeuille,,,,,,,,,,,
Johannes Klopper,,,,,,,,,,,
Carington Bowles,,,,,,,,,1775,1775,
Monogrammist MB (Nederlanden),,,,,,,,,,,
Henry Moses,,,,,,,,,,,
Richard Jennys,,,,,,,,,,,
Charles Alexandre Lesueur,,,,,,,,,1807,1807,
Gilles Demarteau|François Boucher|Jean Pierre Louis Laurent Hoüel,,,,,,,,,,,
Pieter Bruegel the Elder|Pieter van der Heyden|Hieronymus Cock,,,,,,,,,,,
Johan Nieuhof,,,,,,,,,,,
William Henry Barrett,,,,,,,,,,,
Charles-François Daubigny|Théodore Rousseau,,,,,,,,,,,
J. Wright and William Skelton (engraver),,,,,,,,,,,
Pierre Dufour (called Furnius),,,,,,,,,,,
Pieter de Hondt,,,,,,,,,,,
Joseph Mulder,,,,,,,,,,,
George Pickering,,,,,,,,,,,
Johannes van Keulen II,,,,,,,,,,,
Jean de La Fontaine|Duval|Daumont,,,,,,,,,,,
Joannes van Doetechum (II),,,,,,,,,,,
Antonio Pazzi,,,,,,,,,,,
Caroline Watson|Robert Edge Pine|John Boydell|William Shakespeare,,,,,,,,,,,
Louis Marin Bonnet|François Boucher,,,,,,,,,,,
Jan Baptist Goossens,,,,,,,,,,,
Jean Étienne Liotard,,,,,,,,,,,
Caroline Watson|Sir Joshua Reynolds|Princess Barbara Gagarin|Prince Nicholas Gagarin|Prince Serge Gagarin|Caroline Watson,,,,,,,,,,,
William Shakespeare|Matthew William Peters|Peter Simon|John & Josiah Boydell,,,,,,,,,,,
John & Josiah Boydell|Peter Simon|William Shakespeare|Matthew William Peters,,,,,,,,,,,
Juan Dolivar|Jean Berain,,,,,,,,,,,
George Vivian,,,,,,,,,1837,1838,
Abraham Bosse|Jacques Fagnani,,,,,,,,,,,
Anton Maria Zanetti the Elder|Parmigianino (Girolamo Francesco Maria Mazzola)|Giovanni Antonio Faldoni|Andrea Zucchi,,,,,,,,,,,
Javier Arévalo,,,,,,,,,1995,1995,
Jean Charles François|François Boucher,,,,,,,,,,,
Fanny Corbaux,,,,,,,,,,,
J. Kenny Meadows,,,,,,,,,,,
Joachim Wtewael|Willem van Swanenburg|Pieter de Jode I|Christoffel van Sichem I,,,,,,,,,,,
Winslow Homer|Mathew B. Brady|Harper's Weekly,,,,,,,,,,,
Georg Braun,,,,,,,,,,,
Hendrick Hondius,,,,,,,,,,,
Pieter Holsteyn (II),,,,,,,,,,,
Augusta Barreda,,,,,,,,,1983,1983,
Hubert Goltzius,,,,,,,,,,,
Gabriel Huquier|François Boucher|Gabriel Huquier,,,,,,,,,,,
François Valentijn,,,,,,,,,,,
James Rennell,,,,,,,,,,,
Peter Paul Rubens|Lucas Vorsterman I|Peter Paul Rubens|Titian (Tiziano Vecellio)|Isabella d'Este,,,,,,,,,,,
Henry Room and John Cochran (engraver),,,,,,,,,,,
Jean Marie Delattre|Angelica Kauffmann|Anthony Molteno|William Shakespeare,,,,,,,,,,,
William Shakespeare|Thomas Gaugain|Richard Westall|John & Josiah Boydell,,,,,,,,,,,
Benjamin Cole,,,,,,,,,,,
Jean Charles Delafosse|Daumont,,,,,,,,,,,
Jean Honoré Fragonard|Nicolas de Launay|Nicolas de Launay,,,,,,,,,,,
Hieronymus Cock|Johannes van Doetecum the elder|Lucas van Doetecum|Hieronymus Cock,,,,,,,,,,,
Alfred Guesdon,,,,,,,,,1860,1860,
August Stoehr,,,,,,,,,,,
Francesc Gazan,,,,,,,,,,,
Frank Brangwyn,,,,,,,,,,,
Francesco Bartolozzi|Philippe Jacques de Loutherbourg|Thomas Macklin|William Shakespeare,,,,,,,,,,,
John Thornton,,,,,,,,,,,
E P. Hardy and D F. Murphy (engraver),,,,,,,,,,,
William Hogarth|Sarah Malcolm,,,,,,,,,,,
Beatrice Guttormsen,,,,,,,,,2016,2016,
Lasar segall,,,,,,,,,1928,1928,
Giovanni Francesco Camocio,,,,,,,,,,,
Jacob Goltzius (II),,,,,,,,,,,
William Baffin,,,,,,,,,,,
Arnoldus Montanus,,,,,,,,,1673,1673,
William Shakespeare|Robert Smirke|John & Josiah Boydell|Robert Thew,,,,,,,,,,,
John & Josiah Boydell|John Francis Rigaud|Thomas Ryder I|William Shakespeare,,,,,,,,,,,
John Talfourd Smyth|Daniel Maclise|Edward Matthew Ward,,,,,,,,,,,
Sir Edwin Henry Landseer|Samuel Cousins|William Shakespeare,,,,,,,,,,,
Phillip Baldaeus,,,,,,,,,,,
John & Josiah Boydell|Robert Thew|Matthew William Peters|William Shakespeare,,,,,,,,,,,
F. X. Stöckl|Peter Paul Rubens|Helena Fourment|Jakob Mettenleiter,,,,,,,,,,,
Quirijn Fonbonne,,,,,,,,,,,
Alphonse Pellion and Forget (engraver),,,,,,,,,,,
Robert Thew|John & Josiah Boydell|Matthew William Peters|William Shakespeare,,,,,,,,,,,
Chege,,,,,,,,,1980,1980,
William Hogarth|Benjamin Smith|John & Josiah Boydell,,,,,,,,,,,
Nicolas Visscher,,,,,,,,,1690,1690,
Ludwig & Briggs(1816 - ?) (1813 - 1870),,,,,,,,,1845,1845,
Kâtib Çelebi,,,,,,,,,,,
W Sherwin (engraver) and John Stockdale (publisher) after Francis Wheatley,,,,,,,,,,,
José Huerto Wong,,,,,,,,,1983,1983,
Johannes Van Keulen II,,,,,,,,,,,
Taunay,,,,,,,,,1816,1890,
Jan Huyghen Van Linschoten,,,,,,,,,,,
Jarvis Griggs Kellogg and after Francis Alexander,,,,,,,,,,,
Domenico Fontana|Natale Bonifacio|Pope Sixtus V (Felice Peretti)|Domenico Basa|Domenico Fontana,,,,,,,,,,,
Phillip Baldeaus,,,,,,,,,,,
Julius Stadler (drawing author); Johann Conrad Werdmüller (engraver),,,,,,,,,,,
Charles Pye,,,,,,,,,,,
Joseph Tieffenthaler,,,,,,,,,,,
Stefano Buonsignori,,,,,,,,,1587,1587,
Remigio Valdés de Hoyos,,,,,,,,,1985,1985,
Manuela Garretón,,,,,,,,,2016,2016,
William Nichelson,,,,,,,,,,,
Christopher Williams (British,,,,,,,,,1989,1989,
Ricardo Baroja,,,,,,,,,1906,1910,
Louis Paradis de la Roche,,,,,,,,,,,
Matthäus Seutter,,,,,,,,,,,
Hendrik Nieuwenhuysen,,,,,,,,,,,
Manuel Manilla,,,,,,,,,1913,1913,
Pieter Jansz. Post,,,,,,,,,,,
Claudius Ptolomeus and Girolamo Ruscelli,,,,,,,,,,,
Jean Henri Cless and Conrad Westermayr (engraver),,,,,,,,,,,
James Horsburgh,,,,,,,,,,,
Johann Atzelt,,,,,,,,,,,
Nathaniel Dance and Francesco Bartolozzi (engraver),,,,,,,,,,,
Robert Dudley,,,,,,,,,,,
Ary Brizzi,,,,,,,,,,,
Sir Thomas Lawrence and Charles Fox (engraver),,,,,,,,,,,
Perine,,,,,,,,,,,
Heinrich Aldegrevers,,,,,,,,,,,
Nikolaus Joseph von Jacquin,,,,,,,,,,,
Sir William Beechey,,,,,,,,,1793,1793,
Nöel-Marie-Paymal Lerebours (French,,,,,,,,,,,
Milan Duzek,,,,,,,,,,,
Francis Legat|William Shakespeare|George Romney|John & Josiah Boydell,,,,,,,,,,,
Ricardo Pérez Alcalá,,,,,,,,,1999,1999,
Robert Vaughn,,,,,,,,,1907,1907,
Bartolomé Vázquez,,,,,,,,,1781,1781,
Maria Luisa Señoret,,,,,,,,,,,
Schelte a Bolswert,,,,,,,,,1900,1900,
Alfredo Guido,,,,,,,,,1916,1916,
Nicolas Maurin and Alexandre Sixdeniers (engraver),,,,,,,,,,,
Narcisse E. J. Desmadryl,,,,,,,,,1835,1835,
Peeter Baltens and Museum Plantin-Moretus collection,,,,,,,,,,,
William Heath,,,,,,,,,,,
J. S. Conant & Co.,,,,,,,,,,,
Conde de Clarac,,,,,,,,,1822,1822,
Marian Smichdth,,,,,,,,,1967,1968,
Lorgio Vaca,,,,,,,,,1969,1969,
Susana Negri,,,,,,,,,1968,1968,
Ernesto Gutierrez,,,,,,,,,1967,1967,
Samuel Buck and Nathaniel Buck,,,,,,,,,,,
John Lewin and Moses Griffith (engraver),,,,,,,,,,,
Orlando Condeso,,,,,,,,,1968,1968,
Marília Rodrigues,,,,,,,,,,,
Antonio Manuel,,,,,,,,,2002,2002,
Jean Alexandre Coraboeuf,,,,,,,,,1907,1907,
Gerardo Beuchot,,,,,,,,,2012,2012,
Ana Morales,,,,,,,,,,,
Hendrick Goltzius and Museum Plantin-Moretus collection,,,,,,,,,,,
Alexandre Nóbrega,,,,,,,,,,,
Pablo Ruiz Picasso,,,,,,,,,1960,1960,
Manzoor Ahmed Naqishgeer,,,,,,,,,,,
Pierre Audouin,,,,,,,,,1806,1806,
R. B. Schnebbelie and J. Stow,,,,,,,,,,,
Admiral François-Edmond Pâris,,,,,,,,,1841,1843,
Thomas H. Shepherd,,,,,,,,,,,
R. B. Schnebbelie and F. Hay,,,,,,,,,,,
W. Ward,,,,,,,,,1833,1835,
William Dickinson,,,,,,,,,1774,1774,
Gravure de Charles Rivière,,,,,,,,,1860,1860,
Engraved by Johann Gotthard Muller after the portrait by John Trumbull,,,,,,,,,,,
J. Chapman,,,,,,,,,1795,1795,
Chapuy,,,,,,,,,,,
Lee Insung,,,,,,,,,1939,1939,
E.T. Stuart,,,,,,,,,,,
John Smith,,,,,,,,,1580,1631,
João Macphail (?),,,,,,,,,,,
R. Cleveley,,,,,,,,,1848,1848,
John White and Theodor de Bry,,,,,,,,,,,
Teodoro de Sousa Maldonado; Manuel da Silva Godinho,,,,,,,,,1789,1789,
Lithograph by Edward Duncan. From a painting by William John Huggins.,,,,,,,,,,,
Unknown artist (V.H.),,,,,,,,,1829,1830,
C.B. Julian Fevret de St. Memin,,,,,,,,,1808,1839,
Manoel Luiz da Costa,,,,,,,,,1844,1844,
Charles William Sharpe,,,,,,,,,1806,1876,
Cheng Hsin-Ju,,,,,,,,,2007,2007,
Blasco i Canet,,,,,,,,,2003,2003,
Boutens Van Uden,,,,,,,,,1997,1997,
Getty Images,,,,,,,,,2005,2005,
Rolls-Royce,,,,,,,,,1933,1951,
Fennell Photography Ltd,,,,,,,,,2014,2014,
Nobby Clark,,,,,,,,,1981,1984,
Teófilo Rego,,,,,,,,,1962,1962,
John J Clarke,,,,,,,,,1897,1904,
Bartłomiej Sowa,,,,,,,,,2007,2010,
Hulton Archive,,,,,,,,,,,
Pēteris Elferts,,,,,,,,,1987,1989,
Gustavo Vasconcelos,,,,,,,,,2015,2015,
Catarina Sousa,,,,,,,,,2015,2015,
Reg Lancaster,,,,,,,,,,,
Fox Photos,,,,,,,,,,,
Erik van Leeuwen,,,,,,,,,,,
Lo So-man,,,,,,,,,1956,1980,
Fortepan/Angyalföldi Helytörténeti Gyűjtemény,,,,,,,,,1985,1985,
Express Newspapers,,,,,,,,,,,
Justine Walpole,,,,,,,,,2009,2012,
João Pedro Terras,,,,,,,,,2015,2015,
Fresh Air Photo,,,,,,,,,1994,2010,
Three Lions,,,,,,,,,,,
Keith Borrows,,,,,,,,,2010,2010,
Jacek Szmuc,,,,,,,,,1973,1975,
Leonard Szmaglik,,,,,,,,,,,
Source : Musée Curie (coll. ACJC),,,,,,,,,1872,1932,
Jacquie Bablet,,,,,,,,,1982,1991,
Central Press,,,,,,,,,,,
Zbigniew Brzozowski,,,,,,,,,1943,1943,
[Photographs reproduced in `Geographical narrative and cartography' by Douglas Mawson],,,,,,,,,1911,1914,
Jaime Nuñó González,,,,,,,,,,,
Aleksander Wasilewicz,,,,,,,,,1956,1963,
Harry S. Truman Presidential Library and Museum at the National Archives and Records Administration,,,,,,,,,,,
Astrīde Sīlis,,,,,,,,,1989,1989,
Wong Kan Tai,,,,,,,,,,,
Sommer,,,,,,,,,1850,1918,
George Skadding,,,,,,,,,1944,1945,
Will van Grinsven,,,,,,,,,,,
Marja Helander,,,,,,,,,2003,2003,
Wallace Kirkland,,,,,,,,,1944,1954,
David E Scherman,,,,,,,,,1939,1945,
Jack Wilkes,,,,,,,,,1945,1945,
Marie Hansen,,,,,,,,,1942,1945,
Thomas Mcavoy,,,,,,,,,1944,1946,
Scherschel,,,,,,,,,1943,1943,
L. Mumper,,,,,,,,,1863,1863,
Chauffourier,,,,,,,,,1865,1900,
Reinhard Schindler,,,,,,,,,,,
Alphonse,,www.daguerreobase.org/en/type/fa4846c0-aeae-03fb-ee3b-8a3605d10baf,,,,,,,1850,1850,
Karel Koubek,,,,,,,,,,,
Molténi,,,,,,,,,1910,1930,
"""Blériot VI Aeroplane """"Libellule"""" in Issy-les-Moulineaux (France)""",,,,,,,,,1907,1907,
Kurokawa Suizan,,,,,,,,,1880,1945,
Marcus Selmer (1819-1900),,www.daguerreobase.org/en/type/146c9ab8-8680-2dfd-4c3d-6f39dfdf2459,,,,,,,1853,1853,
Autor nieznany,,,,,,,,,,,
Bob Bartosz,,,,,,,,,1974,1974,
Blériot III Aeroplane floating on a lake in Enghien (France),,,,,,,,,1906,1906,
Michael Schneeberger,,,,,,,,,1988,2012,
Jacek Drygała,,,,,,,,,,,
Wojciech Milewski,,,,,,,,,,,
architect Radu Mihăilescu,,,,,,,,,,,
AFP,,,,,,,,,2008,2008,
NASA and Syd Lieberman,,,,,,,,,,,
Peter Bellamy,,,,,,,,,1985,1985,
© Palais de la découverte/ Pineau,,,,,,,,,,,
Halina Bala (“Małgorzata”),,,,,,,,,,,
A.S. Feinberg,,,,,,,,,1870,1870,
Díaz Carariego,,,,,,,,,,,
Nina Boal,,,,,,,,,1968,1968,
Manrique Zago,,,,,,,,,,,
Wolfgang Pfauder,,,,,,,,,,,
Nanda and 난다,,,,,,,,,,,
Trashhand,,,,,,,,,,,
© Rmn-GP-fonds EMOC,,,,,,,,,,,
Public Record Office Victoria,,,,,,,,,,,
SambaPhoto/Ana Ce,,,,,,,,,2007,2007,
Source: Stuart Davis,,,,,,,,,,,
Leo Seidel,,,,,,,,,,,
Peter Millar,,,,,,,,,1981,1990,
Image Source,,,,,,,,,2007,2010,
Johner,,,,,,,,,2005,2005,
ABEL,,,,,,,,,2005,2005,
Kathrin Ziegler,,,,,,,,,2010,2010,
Javier Pérez González,,,,,,,,,,,
DC Productions,,,,,,,,,2005,2005,
Medioimages/Photodisc,,,,,,,,,2005,2007,
Martin Child,,,,,,,,,2005,2007,
David Toase,,,,,,,,,2005,2005,
Andrew Gunners,,,,,,,,,2005,2007,
Jack Hollingsworth,,,,,,,,,2005,2005,
Romilly Lockyer,,,,,,,,,2005,2005,
Adalberto Rios Szalay/Sexto Sol,,,,,,,,,2005,2005,
Forrest S. Yantis,,,,,,,,,1933,1936,
Herve Hughes,,,,,,,,,2007,2007,
Martial Colomb,,,,,,,,,2005,2009,
altrendo travel,,,,,,,,,2008,2010,
Glen Allison,,,,,,,,,2005,2005,
Walter Bibikow,,,,,,,,,2003,2011,
Hans Bach,,,,,,,,,,,
VisitBritain/Britain on View,,,,,,,,,2009,2009,
Peter Ginter,,,,,,,,,2005,2005,
Peter Adams,,,,,,,,,2005,2008,
Tom Brakefield,,,,,,,,,2006,2006,
John Foxx,,,,,,,,,2006,2006,
Claver Carroll,,,,,,,,,2000,2000,
Marc Dozier,,,,,,,,,2007,2007,
Peter Bullock,,,,,,,,,1968,1968,
Photograph By David Messent,,,,,,,,,2008,2008,
Marcos Ferro,,,,,,,,,2011,2011,
Jochen Schlenker,,,,,,,,,2007,2007,
DEA / G. SOSIO,,,,,,,,,2007,2008,
Darryl Leniuk,,,,,,,,,2007,2007,
MANIN Richard,,,,,,,,,2011,2011,
Bruce Leighty,,,,,,,,,2011,2011,
James Emmerson,,,,,,,,,2009,2009,
Mark Williamson,,,,,,,,,2010,2010,
Michael DeFreitas,,,,,,,,,2008,2010,
Southern Stock,,,,,,,,,2008,2008,
Bruno Morandi,,,,,,,,,2005,2009,
Andreas Strauss,,,,,,,,,2009,2010,
Arnaud Chicurel,,,,,,,,,2008,2008,
Alan Copson,,,,,,,,,2010,2010,
Guenter Fischer,,,,,,,,,2010,2010,
Christian Kober,,,,,,,,,2009,2010,
Thomas Winz,,,,,,,,,2009,2009,
Robert Harding,,,,,,,,,2005,2005,
Dorling Kindersley,,,,,,,,,2005,2005,
VisionsofAmerica/Joe Sohm,,,,,,,,,2007,2007,
Jeremy Woodhouse,,,,,,,,,2005,2010,
DEA / R. CARNOVALINI,,,,,,,,,2007,2007,
Panoramic Images,,,,,,,,,2006,2010,
RIEGER Bertrand / hemis.fr,,,,,,,,,2008,2008,
Lauree Feldman,,,,,,,,,2007,2007,
DEA PICTURE LIBRARY,,,,,,,,,2006,2006,
Jupiterimages,,,,,,,,,2004,2008,
Claire Takacs,,,,,,,,,2008,2008,
Glow Images,,,,,,,,,2007,2011,
Karl Weatherly,,,,,,,,,2006,2006,
Justin Lambert,,,,,,,,,2011,2011,
Andrew Holt,,,,,,,,,2006,2007,
Glowimages,,,,,,,,,2006,2006,
Keren Su,,,,,,,,,2008,2010,
Dennis Flaherty,,,,,,,,,2008,2009,
Barry Winiker,,,,,,,,,2009,2009,
Eurasia,,,,,,,,,2010,2010,
Thinkstock,,,,,,,,,2005,2005,
Mike Kemp,,,,,,,,,2009,2009,
DEA / M. BORCHI,,,,,,,,,2007,2008,
AZAM Jean-Paul,,,,,,,,,2011,2011,
Kim Steele,,,,,,,,,2006,2006,
Comstock,,,,,,,,,2002,2002,
RIEGER Bertrand,,,,,,,,,2011,2011,
Ken Welsh,,,,,,,,,2010,2010,
SambaPhoto/Tony Generico,,,,,,,,,2007,2007,
SuperStock,,,,,,,,,2009,2009,
Purestock,,,,,,,,,2006,2006,
Bertrand Gardel,,,,,,,,,2007,2007,
H. & D. Zielske,,,,,,,,,2010,2010,
GYRO PHOTOGRAPHY/amanaimagesRF,,,,,,,,,2009,2009,
Juergen Richter,,,,,,,,,2011,2011,
DEA / C. SAPPA,,,,,,,,,1999,2007,
Guy Vanderelst,,,,,,,,,2004,2010,
Sylvester Adams,,,,,,,,,2006,2007,
MIXA Co. Ltd.,,,,,,,,,2009,2011,
Creativ Studio Heinemann,,,,,,,,,2008,2008,
Elan Fleisher,,,,,,,,,2010,2010,
Kaz Chiba,,,,,,,,,2007,2007,
Garry Black,,,,,,,,,2009,2009,
SEUX Paule / hemis.fr,,,,,,,,,2007,2007,
Stockbyte,,,,,,,,,2005,2005,
Steven Gillis,,,,,,,,,2010,2010,
Duncan Walker,,,,,,,,,2010,2010,
Bożena Seredyńska,,,,,,,,,1968,1968,
Declan Haun,,,,,,,,,1966,1968,
William R. Howell,,,,,,,,,1869,1869,
Ford Motor Company. Engineering Photographic Department,,,,,,,,,1918,1942,
Punaloor Rajan,,,,,,,,,,,
AFS,,,,,,,,,,,
Arthur Rickerby,,,,,,,,,1962,1962,
Photo: Gilles Targat,,,,,,,,,2012,2012,
Source: Cpl Pierre Létourneau,,,,,,,,,,,
Kitty But,,,,,,,,,,,
Source : Cpl Bill Gomm © 2008 DND-MDN Canada,,,,,,,,,,,
Henri Béchard,,,,,,,,,,,
Centro Marc Turkow,,,,,,,,,1908,1992,
D. Loggie,,,,,,,,,1977,1977,
Feliks Nowicki,,,,,,,,,1949,1949,
USSBS,,,,,,,,,1945,1945,
Source: Mike Reyno / Skies Magazine,,,,,,,,,,,
National Archives UK,,,,,,,,,1920,1935,
Corky Lee,,,,,,,,,1990,1990,
photographer Matthew Willman on behalf of the Nelson Mandela Foundation,,,,,,,,,,,
Source: Cpl Andrew Wesley,,,,,,,,,,,
Charles Woolley,,,,,,,,,,,
Bill Ray,,,,,,,,,1968,1968,
AFIP,,,,,,,,,,,
Jeju Photo Members,,,,,,,,,2004,2005,
Michael Busselle,,,,,,,,,2005,2007,
Carlos Montes de Oca,,,,,,,,,,,
Paul-Joseph-Albert Chevojon (1865-1925) and © CNAM/DAF/Cité de l'architecture et du patrimoine/Archives d'architecture du XXe siècle,,,,,,,,,,,
Henry Sarian,,,,,,,,,1937,1937,
Photo Nicolas Krief pour la Rmn-Grand Palais,,,,,,,,,,,
Alice Springs,,,,,,,,,,,
Osvaldo Salas,,,,,,,,,,,
H.B. Lindsley,,,,,,,,,1880,1880,
Bernd Kröger,,,,,,,,,,,
Safdar Hashmi (?),,,,,,,,,1979,1979,
Surendra Rajan,,,,,,,,,1980,1980,
Tsuneoki Ikematsu,,,,,,,,,,,
Miguel Luciano,,,,,,,,,,,
Baajav,,,,,,,,,,,
Hwayeon Nam,,,,,,,,,2014,2014,
George Ward,,,,,,,,,,,
JFK Library Photo by Robert L. Knudsen,,,,,,,,,1961,1961,
Archivo Díaz Casariego,,,,,,,,,,,
Oberhofmarschallamt/ Verwaltung der Staatlichen Schlösser und Gärten (1927-1945),,,,,,,,,,,
Hisashi Ishida,,,,,,,,,1946,1947,
Source: Cpl Michael Bastien,,,,,,,,,,,
National Aeronautics and Space Administration,,,,,,,,,,,
RERF,,,,,,,,,,,
Source: Graham Hughes,,,,,,,,,,,
JFK Library Photo by Cecil Stoughton,,,,,,,,,1963,1963,
Courtesy of the Desmond Tutu Peace Foundation-USA,,,,,,,,,2011,2011,
Collection Rmn-Grand Palais,,,,,,,,,,,
Donald F. Thomson,,,,,,,,,,,
Alicia Segal CA312/FG23,,,,,,,,,,,
W. A. Ismay,,,,,,,,,2013,2013,
Werner T. Angress,,,,,,,,,1944,1945,
Roelof Louw,,,,,,,,,1968,1968,
Allan Baxter,,,,,,,,,2009,2011,
Daniel T. Cowell,,,,,,,,,1870,1870,
DAJ,,,,,,,,,2005,2005,
Source: NASA,,,,,,,,,,,
Photo © Rmn-GP,,,,,,,,,,,
Alessandro Duroni (1807- 1870),,www.daguerreobase.org/en/type/721f8722-79b5-95ee-c323-f106b4af1016,,,,,,,1842,1842,
US Army File,,,,,,,,,,,
Ian Waldie,,,,,,,,,2003,2003,
© Palais de la découverte / C. Rousselin,,,,,,,,,,,
Farkas,,,,,,,,,1943,1960,
"""Leszek Rueger """"Grzegorz""""""",,,,,,,,,,,
larigan - Patricia Hamilton,,,,,,,,,2008,2008,
Auschwitz-Birkenau State Museum Archive,,,,,,,,,1943,1945,
Bloomberg,,,,,,,,,2008,2008,
I love Photo and Apple.,,,,,,,,,2009,2010,
John Turner,,,,,,,,,2006,2006,
DEA / F. TANASI,,,,,,,,,2005,2005,
B. V. Kračmar,,,,,,,,,,,
© Agence architecture du Grand Palais/EMOC,,,,,,,,,,,
Acervo Clube de Regatas Vasco da Gama,,,,,,,,,1905,1905,
Alexander Hassenstein,,,,,,,,,2006,2007,
Paul Thompson,,,,,,,,,2006,2011,
Alphonse Bertrand,,www.daguerreobase.org/en/type/d4b67834-6daf-819a-ffbd-a368166c4da8,,,,,,,1842,1842,
WWI German Soldier Photography,,,,,,,,,1917,1917,
Museu da Imagem e do Som / RJ,,,,,,,,,1910,1917,
photographer Matthew Willman on behalf of the Nelson Mandela Centre of Memory,,,,,,,,,,,
© Palais de la découverte/ Pensivy,,,,,,,,,,,
MIXA,,,,,,,,,2009,2009,
Fortepan/Pesti Srác,,,,,,,,,1956,1956,
© Palais de la découverte / Chartier,,,,,,,,,,,
Matt Cardy,,,,,,,,,2009,2011,
Photograph by Poulomi Desai for Sound and Music,,,,,,,,,,,
© Palais de la découverte / Pensivy,,,,,,,,,,,
Michael Rougier,,,,,,,,,1927,1970,
©Agence Mondial Photo-Presse / BNF,,,,,,,,,,,
Kasjer,,,,,,,,,1968,1968,
Archivo General de la Nación,,,,,,,,,1968,1968,
Acervo Fluminense Futebol Clube,,,,,,,,,1920,1920,
Charles Roland,,,,,,,,,1968,1968,
Krzysztof Słomka,,,,,,,,,,,
Photo © BNF and Agence Rol. Agence photographique,,,,,,,,,,,
© Colette Masson / Roger-Viollet,,,,,,,,,1961,2007,
Borja Cardelús photography,,,,,,,,,,,
A. Chevojon (1865-1925) and © Agence d'architecture du Grand Palais/EMOC,,,,,,,,,,,
Piotr Babiński,,,,,,,,,,,
JUNKO TAKAHASHI/a.collectionRF,,,,,,,,,2007,2007,
iStock Photo,,,,,,,,,2002,2002,
Acervo Botafogo de Futebol e Regatas,,,,,,,,,1901,1901,
Mark Horn,,,,,,,,,2008,2008,
Graham Denholm,,,,,,,,,2011,2011,
Rene Frederick,,,,,,,,,2006,2007,
Karin Slade,,,,,,,,,2007,2007,
Photo © 2015,,,,,,,,,,,
Travel Ink,,,,,,,,,2008,2009,
Richard Nowitz,,,,,,,,,2006,2006,
Michael Rafael Gordovez,,,,,,,,,,,
Ingram Publishing,,,,,,,,,2008,2010,
Kenichiro Sato,,,,,,,,,2011,2012,
© Collection Roger Viollet / Roger-Viollet,,,,,,,,,,,
DEA / A. DE GREGORIO,,,,,,,,,2000,2000,
Frans Lemmens,,,,,,,,,2006,2006,
Vincenzo Lombardo,,,,,,,,,2007,2007,
Win Initiative,,,,,,,,,2009,2009,
Jumper,,,,,,,,,2010,2010,
Paolo Negri,,,,,,,,,2010,2010,
Jim Holmes,,,,,,,,,2007,2008,
Mondadori Portfolio,,,,,,,,,2005,2005,
DEA / A. VERGANI,,,,,,,,,2000,2000,
B. Tanaka,,,,,,,,,2007,2009,
MITSUHARU MAEDA/a.collectionRF,,,,,,,,,2007,2007,
© Neurdein / Roger-Viollet and Charles Letrosne,,,,,,,,,,,
JMN,,,,,,,,,2008,2008,
Dennis McColeman,,,,,,,,,2008,2008,
Chris Cheadle,,,,,,,,,2006,2006,
Oli Scarff,,,,,,,,,2010,2010,
DEA / W. BUSS,,,,,,,,,2004,2009,
Izzet Keribar,,,,,,,,,2008,2008,
Mauricio Simonetti,,,,,,,,,2006,2006,
Source : Canadian Paraympic Committee / Comité paralympique canadien,,,,,,,,,,,
Jeremy Hoare,,,,,,,,,2008,2008,
Franz Aberham,,,,,,,,,2007,2007,
Christopher Groenhout,,,,,,,,,2005,2005,
Renaud Visage,,,,,,,,,2007,2007,
Danita Delimont,,,,,,,,,2009,2009,
Bread and Butter,,,,,,,,,2009,2009,
John W Banagan,,,,,,,,,2008,2010,
Design Pics / Guy Heitmann,,,,,,,,,2011,2011,
Marilyn Minter,,,,,,,,,2013,2015,
Q Rooney,,,,,,,,,2007,2007,
Jeff Hunter,,,,,,,,,2006,2006,
Hiroshi Watanabe,,,,,,,,,2007,2007,
Slow Images,,,,,,,,,2009,2010,
Karen Desjardin,,,,,,,,,2008,2008,
E. Decker,,,,,,,,,1875,1875,
Samuel Magal,,,,,,,,,2008,2009,
Hiroshi Higuchi,,,,,,,,,2008,2008,
Christopher Furlong,,,,,,,,,2010,2011,
Buena Vista Images,,,,,,,,,2010,2010,
