artist,Nationality,PaintingSchool,ArtMovement,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,FirstYear,LastYear,Places
Robert Delaunay,French,"École de Paris,Der Blaue Reiter (The Blue Rider),Société des Artistes Indépendants (Society of Independent Artists),La Ruche","{Orphism (Simultanism):32},","Paul Gauguin,Henri Rousseau,Georges Seurat,Pablo Picasso,Claude Monet,Pont-Aven School,","Aristarkh Lentulov,Der Blaue Reiter (The Blue Rider),Post-Painterly Abstraction,Abstract Expressionism,Paul Klee,August Macke,Marc Chagall,Wassily Kandinsky,Diego Rivera,",,,"Marc Chagall,Fernand Leger,Jean Metzinger,Roman Selsky,Margit Selska,Józef Pankiewicz,",1904,1939,
Félicien Rops,,,,,,,,,1875,1885,
Théodore Rousseau,,,"{Barbizon school:1},{Realism:1},{Romanticism:1},",,,,,,1830,1861,
Toyohara Kunichika,,,,,,,,,,,
Li Tang,Chinese,,"{Northern Song Dynasty (960–1126):4},",,,,,,1124,1124,
Tom Roberts,Australian,Heidelberg School,"{Impressionism:95},",,,,,,1883,1929,
Stanford White,,,,,,,,,,,
Kobayashi Kiyochika,,,,,,,,,1876,1881,
Carl Mydans,,,,,,,,,1901,1978,
David Alfaro Siqueiros,Mexican,Mexican Mural Renaissance,"{Social Realism,Muralism:71},","Pablo Picasso,Georges Braque,Umberto Boccioni,Native Art,Cubism,Futurism,","Jackson Pollock,Muralism,Social Realism,Frida Kahlo,",,,"Morris Louis,Jose Clemente Orozco,Diego Rivera,",1918,1971,
Pierre Puvis de Chavannes,,,"{Symbolism:1},{Modern art:1},",,,,,,1867,1875,
David Douglas Duncan,,,,,,,,,1950,1950,
Jan Brueghel the Elder,,,"{Mannerism:1},",,,,,,1596,1614,
Joan Miró,,,,,,,,,1900,1983,
Guo Xi,Chinese,,"{Northern Song Dynasty (960–1126):7},",,,,,,1072,1080,
Lucas Cranach the Younger,,,"{German Renaissance:2},{Northern Renaissance:2},{Renaissance:2},",,,,,,1537,1564,
Marià Fortuny,,,,,,,,,1862,1873,
Duchenne de Boulogne,,,,,,,,,1854,1862,
Horace Vernet,French,,"{Neoclassicism:1},{Academic art:1},{Romanticism:42},",,"J.M.W. Turner,","Théodore Géricault,",,"Charles Gleyre,",1807,1851,
Akseli Gallen-Kallela,,,,,,,,,,,
Prilidiano Pueyrredón,,,,,,,,,,,
Emperor Huizong of Song,,,,,,,,,,,
William Notman,,,,,,,,,1862,1896,
Larry Burrows,,,,,,,,,1926,1971,
Bill Eppridge,,,,,,,,,1963,1972,
Berenice Abbott,,,,,,,,,1924,1954,
Max Liebermann,"Jewish,German",Berlin Secession,"{Modern art:1},{Impressionism:71},",,,,,,1847,1935,
Tani Bunchō,,,,,,,,,1797,1815,
John Flaxman,,,,,,,,,1795,1809,
Fiona Margaret Hall,,,,,,,,,,,
Pieter Claesz,Dutch,Haarlem School,"{Baroque:65},",,,,,,1623,1660,
Henri-Edmond Cross,,,,,,,,,1891,1909,
Vilhelm Hammershøi,,,,,,,,,,,
Peter Henry Emerson,,,,,,,,,1886,1895,
Eugène Isabey,,,,,,,,,1830,1861,
Eastman Johnson,American,Düsseldorf School of Painting,"{Realism:152},",,,,,,1853,1895,
Paul Sandby,,,"{Rococo:5},{Romanticism:3},",,,,,,1768,1809,
Maxime Du Camp,,,,,,,,,1849,1853,
Eliot Porter,,,,,,,,,,,
Jan van de Velde,,,,,,,,,1614,1639,
Marcel Breuer,,,,,,,,,1928,1936,
Charles-Nicolas Cochin,,,,,,,,,1745,1755,
David Octavius Hill,,,,,,,,,1843,1844,
Heinrich Aldegrever,,,"{German Renaissance:91},{Northern Renaissance:91},{Renaissance:91},",,,,,,1540,1555,
George Frederic Watts,,,"{Realism:1},{Academic art:1},{Symbolism:2},",,,,,,1866,1878,
Valentin Serov,Russian,Peredvizhniki (Society for Traveling Art Exhibitions),"{Modern art:2},{Impressionism:1},{Realism,Impressionism:218},",,"Fedir Krychevsky,Robert Falk,","Mikhail Larionov,","Ilya Repin,Imperial Academy of Arts, Saint Petersburg, Russia,","Mikhail Vrubel,",1880,1911,
Georges de La Tour,,,,,,,,,1646,1646,
Wilhelm Lehmbruck,,,"{Naturalism:1},{Modern art:1},",,,,,,1913,1918,
Nicolas de Largillière,,,,,,,,,1686,1800,
Simon Bening,,,"{Dutch and Flemish Renaissance painting:22},{Northern Renaissance:22},{Renaissance:22},",,,,,,1525,1550,
Rabindranath Tagore,,,,,,,,,,,
Andrea del Sarto,,,"{Italian Renaissance:5},{High Renaissance:2},{Renaissance:5},{Mannerism:1},",,,,,,1514,1528,
Anish Kapoor,"British,Indian",New British Sculpture,"{Post-Minimalism:13},","Damien Hirst,",,,,,1981,2009,
Georg Baselitz,German,Neue Wilde,"{Neo-Expressionism:34},",,,,,"Joseph Beuys,Gerhard Richter,",1963,2015,
Ben Nicholson,British,Unit One,"{Cubism,Abstract Art:22},",,,,,"Christopher Wood,",1922,1979,
Jean Fouquet,French,,"{Northern Renaissance:115},","Flavius Josephus 'Antiquites Judaiques',Hours of Etienne Chevalier,",,,,,1442,1789,
Rudolf Stingel,,,"{Contemporary art:3},",,,,,,1999,1999,
George E. Ohr,,,,,,,,,1895,1910,
Medardo Rosso,Italian,,"{Modern art:1},{Impressionism:1},{Post-Impressionism:12},",,,,,,1883,1913,
